outcome,age,income,net_worth,risk_tolerance,investment_goals_count,investment_goals_items,time_horizon,current_portfolio_stocks,current_portfolio_bonds,current_portfolio_cash,market_conditions,current_condition,stocks_percentage,bonds_percentage,cash_percentage
growth-focused strategy,42,136064,131950,aggressive,2,retirement|children_education,20,87,20,0,recovering market after downturn,market volatility is increasing,87,20,-7
income-focused strategy,44,80281,286039,conservative,1,children_education,13,34,54,12,volatile market with inflation concerns,inflation is rising rapidly,34,54,12
income-focused strategy,41,196233,460263,moderate,1,house_down_payment,15,66,37,0,sideways market with uncertainty,market volatility is increasing,66,37,-3
growth-focused strategy,44,109447,262902,aggressive,1,retirement,22,84,7,9,bull market with low volatility,inflation is rising rapidly,84,7,9
growth-focused strategy,31,94698,239736,moderate,1,children_education,13,57,23,20,sideways market with uncertainty,market volatility is increasing,57,23,20
income-focused strategy,67,229169,590042,conservative,2,retirement|children_education,5,38,41,21,recovering market after downturn,geopolitical tensions affecting markets,38,41,21
income-focused strategy,69,81458,343603,aggressive,1,children_education,6,85,19,0,bear market with high volatility,interest rates are climbing,85,19,-4
growth-focused strategy,56,497399,384532,aggressive,1,house_down_payment,13,81,16,3,recovering market after downturn,interest rates are climbing,81,16,3
growth-focused strategy,43,494478,741164,moderate,2,emergency_fund|retirement,21,56,39,5,recovering market after downturn,inflation is rising rapidly,56,39,5
income-focused strategy,52,40745,193628,moderate,1,children_education,10,63,25,12,volatile market with inflation concerns,interest rates are climbing,63,25,12
income-focused strategy,71,90124,324574,moderate,2,retirement|children_education,5,69,35,0,sideways market with uncertainty,economic recession concerns,69,35,-4
income-focused strategy,71,47732,39661,conservative,2,retirement|house_down_payment,5,33,45,22,sideways market with uncertainty,economic recession concerns,33,45,22
growth-focused strategy,44,49217,171824,aggressive,1,children_education,13,83,16,1,bull market with low volatility,interest rates are climbing,83,16,1
income-focused strategy,79,111551,284737,conservative,1,house_down_payment,9,32,56,12,volatile market with inflation concerns,market volatility is increasing,32,56,12
income-focused strategy,62,60923,207204,moderate,2,retirement|children_education,8,55,39,6,bear market with high volatility,interest rates are climbing,55,39,6
